User,Party,Duration,Direction,Date
User2,Party4,05:00,1,06-09-2024
User4,Party4,08:00,1,13-09-2024
User1,Party2,01:00,0,06-11-2024
User5,Party4,07:00,1,14-10-2024
User3,Party4,11:00,1,23-10-2024
User2,Party3,05:00,0,21-11-2024
User4,Party3,09:00,1,09-10-2024
User1,Party3,04:00,0,24-09-2024
User4,Party3,15:00,1,16-09-2024
User5,Party2,14:00,0,03-11-2024
User2,Party5,12:00,0,08-11-2024
User2,Party3,11:00,0,30-10-2024
User5,Party5,13:00,0,03-11-2024
User4,Party2,01:00,1,11-10-2024
User5,Party1,05:00,1,16-10-2024
User4,Party4,08:00,1,05-11-2024
User2,Party3,01:00,0,19-10-2024
User1,Party1,15:00,0,23-11-2024
User3,Party5,06:00,0,07-11-2024
User3,Party5,10:00,1,13-11-2024
User4,Party5,11:00,0,08-11-2024
User2,Party2,09:00,0,14-09-2024
User4,Party4,11:00,0,26-09-2024
User1,Party3,05:00,1,12-10-2024
User4,Party2,01:00,1,01-09-2024
User1,Party2,02:00,1,20-10-2024
User5,Party4,09:00,1,16-09-2024
User2,Party5,12:00,0,18-10-2024
User4,Party5,15:00,0,08-11-2024
User2,Party2,05:00,0,07-11-2024
User2,Party4,05:00,1,23-11-2024
User3,Party4,12:00,1,16-11-2024
User5,Party5,13:00,0,04-10-2024
User1,Party5,10:00,1,29-10-2024
User1,Party2,08:00,1,29-09-2024
User1,Party1,09:00,1,03-09-2024
User4,Party5,04:00,1,24-11-2024
User4,Party2,09:00,0,17-10-2024
User5,Party5,06:00,0,13-09-2024
User1,Party1,08:00,1,24-09-2024
User2,Party2,15:00,0,05-11-2024
User4,Party2,03:00,1,02-11-2024
User2,Party5,07:00,0,08-09-2024
User5,Party2,02:00,0,25-11-2024
User2,Party5,10:00,1,09-10-2024
User3,Party5,01:00,1,11-11-2024
User2,Party1,04:00,1,30-09-2024
User5,Party3,04:00,1,27-10-2024
User3,Party3,15:00,0,14-11-2024
User3,Party3,05:00,0,15-09-2024
User5,Party3,01:00,0,08-10-2024
User2,Party4,01:00,0,12-11-2024
User2,Party4,02:00,1,04-10-2024
User3,Party4,09:00,1,16-11-2024
User4,Party2,01:00,0,06-11-2024
User2,Party4,02:00,1,27-11-2024
User1,Party2,12:00,0,23-09-2024
User5,Party3,03:00,1,04-09-2024
User1,Party4,15:00,0,07-09-2024
User1,Party1,08:00,0,28-09-2024
User1,Party2,02:00,1,25-09-2024
User3,Party3,05:00,0,18-11-2024
User1,Party4,05:00,1,11-09-2024
User2,Party4,09:00,0,01-10-2024
User1,Party2,08:00,1,02-10-2024
User2,Party2,12:00,0,16-09-2024
User3,Party5,04:00,0,07-09-2024
User4,Party4,03:00,0,28-09-2024
User4,Party4,14:00,1,31-10-2024
User1,Party1,11:00,1,20-10-2024
User4,Party5,12:00,0,29-10-2024
User4,Party4,02:00,1,29-11-2024
User1,Party4,04:00,1,23-09-2024
User3,Party2,01:00,1,28-11-2024
User1,Party1,04:00,0,18-11-2024
User1,Party4,03:00,1,04-11-2024
User3,Party4,05:00,0,23-10-2024
User2,Party1,01:00,1,17-09-2024
User4,Party1,11:00,1,22-10-2024
User1,Party5,05:00,1,08-09-2024
User1,Party2,07:00,0,06-10-2024
User4,Party5,12:00,1,14-10-2024
User3,Party1,08:00,0,20-09-2024
User2,Party2,05:00,0,02-09-2024
User4,Party3,05:00,0,24-09-2024
User2,Party1,09:00,1,28-09-2024
User5,Party2,15:00,0,10-10-2024
User1,Party1,09:00,0,08-11-2024
User1,Party5,15:00,0,24-09-2024
User1,Party1,13:00,0,18-10-2024
User3,Party3,14:00,0,27-09-2024
User3,Party2,10:00,1,01-09-2024
User4,Party4,12:00,0,06-11-2024
User1,Party4,09:00,1,29-10-2024
User2,Party2,03:00,1,14-10-2024
User5,Party3,08:00,1,18-11-2024
User2,Party3,15:00,0,31-10-2024
User3,Party3,02:00,0,17-10-2024
User4,Party3,13:00,1,10-11-2024
User3,Party4,07:00,1,19-09-2024
User2,Party3,08:00,1,16-09-2024
User2,Party3,13:00,1,19-10-2024
User1,Party4,13:00,1,09-09-2024
User5,Party4,12:00,1,10-10-2024
User3,Party1,08:00,1,14-10-2024
User5,Party3,01:00,0,05-10-2024
User1,Party1,13:00,1,08-10-2024
User5,Party5,02:00,0,30-09-2024
User5,Party1,12:00,1,09-11-2024
User3,Party2,06:00,0,22-09-2024
User1,Party2,10:00,0,30-10-2024
User4,Party2,07:00,0,07-11-2024
User2,Party1,12:00,0,31-10-2024
User1,Party4,05:00,1,02-09-2024
User2,Party2,09:00,1,13-09-2024
User3,Party1,05:00,1,13-09-2024
User5,Party2,09:00,1,14-09-2024
User3,Party2,07:00,1,23-09-2024
User5,Party1,15:00,1,28-11-2024
User3,Party4,03:00,1,03-09-2024
User1,Party1,02:00,1,02-10-2024
User1,Party3,12:00,0,13-09-2024
User4,Party3,14:00,0,30-10-2024
User5,Party1,10:00,1,24-11-2024
User5,Party4,01:00,1,08-10-2024
User2,Party4,06:00,1,13-11-2024
User4,Party1,04:00,0,17-10-2024
User3,Party3,14:00,0,08-10-2024
User1,Party5,02:00,1,01-10-2024
User4,Party5,11:00,0,07-11-2024
User1,Party2,03:00,0,03-11-2024
User3,Party4,07:00,0,03-09-2024
User5,Party4,09:00,0,05-09-2024
User3,Party1,15:00,0,02-11-2024
User3,Party1,10:00,0,18-11-2024
User2,Party1,06:00,1,06-09-2024
User2,Party1,11:00,0,05-11-2024
User1,Party4,02:00,0,24-09-2024
User2,Party5,14:00,1,08-09-2024
User5,Party4,12:00,1,25-09-2024
User4,Party2,05:00,0,18-09-2024
User3,Party2,09:00,0,03-09-2024
User5,Party5,06:00,0,02-09-2024
User2,Party5,14:00,1,07-10-2024
User2,Party1,15:00,1,02-09-2024
User5,Party3,10:00,1,05-10-2024
User5,Party2,02:00,1,23-10-2024
User4,Party2,03:00,0,25-11-2024
User5,Party2,12:00,0,07-09-2024
User1,Party4,12:00,0,06-09-2024
User3,Party3,05:00,0,11-10-2024
User4,Party5,15:00,0,04-09-2024
User1,Party5,09:00,1,13-09-2024
User4,Party5,14:00,0,11-11-2024
User1,Party5,04:00,1,03-11-2024
User3,Party4,04:00,0,21-09-2024
User5,Party2,03:00,1,16-09-2024
User4,Party3,04:00,0,06-10-2024
User3,Party1,09:00,1,28-10-2024
User1,Party4,02:00,1,06-11-2024
User3,Party1,15:00,0,31-10-2024
User1,Party4,10:00,0,10-10-2024
User5,Party4,01:00,1,15-11-2024
User3,Party4,14:00,0,12-09-2024
User2,Party2,05:00,0,30-10-2024
User2,Party2,06:00,0,20-11-2024
User3,Party1,08:00,1,23-10-2024
User3,Party3,05:00,1,25-09-2024
User5,Party1,06:00,1,22-09-2024
User5,Party3,11:00,0,26-11-2024
User3,Party4,14:00,1,24-09-2024
User4,Party3,03:00,0,15-09-2024
User4,Party1,14:00,0,21-09-2024
User3,Party5,14:00,0,06-09-2024
User3,Party4,09:00,0,24-09-2024
User4,Party1,11:00,1,14-09-2024
User5,Party5,09:00,1,25-11-2024
User1,Party1,09:00,0,05-09-2024
User4,Party5,11:00,1,20-11-2024
User4,Party4,05:00,1,11-10-2024
User5,Party3,01:00,0,04-10-2024
User5,Party4,01:00,0,27-09-2024
User4,Party2,15:00,0,14-10-2024
User3,Party2,07:00,1,16-09-2024
User4,Party4,02:00,0,13-10-2024
User4,Party5,01:00,0,15-09-2024
User3,Party3,06:00,1,07-09-2024
User3,Party5,05:00,0,09-09-2024
User5,Party3,01:00,1,15-11-2024
User1,Party5,02:00,0,30-11-2024
User1,Party5,01:00,0,03-10-2024
User2,Party5,02:00,1,19-09-2024
User4,Party4,07:00,1,27-10-2024
User5,Party1,08:00,0,04-10-2024
User5,Party3,04:00,1,25-11-2024
User3,Party4,12:00,0,16-10-2024
User3,Party3,03:00,1,02-10-2024
User3,Party2,14:00,0,16-09-2024
User2,Party4,15:00,0,30-10-2024
User3,Party4,11:00,1,24-11-2024
