User,Party,Duration,Direction,Date
User6,Party1,02:30,0,01-01-2024
User7,Party1,04:00,0,02-01-2024
User4,Party3,00:00,1,03-01-2024
User3,Party4,00:00,1,04-01-2024
User1,Party5,01:00,0,05-01-2024
User1,Party1,00:00,1,06-01-2024
User4,Party1,02:30,1,07-01-2024
User5,Party4,04:30,0,08-01-2024
User3,Party1,01:30,1,09-01-2024
User2,Party1,02:15,1,10-01-2024
User3,Party2,03:00,0,11-01-2024
User8,Party4,03:30,1,12-01-2024
User8,Party1,00:30,1,13-01-2024
User10,Party2,04:00,1,14-01-2024
User6,Party4,00:00,1,15-01-2024
User5,Party5,02:45,0,16-01-2024
User5,Party4,03:30,1,17-01-2024
User5,Party4,03:45,1,18-01-2024
User5,Party4,00:15,0,19-01-2024
User7,Party2,01:15,1,20-01-2024
User2,Party1,03:00,1,21-01-2024
User8,Party5,00:30,0,22-01-2024
User3,Party2,00:15,1,23-01-2024
User5,Party5,04:30,1,24-01-2024
User4,Party1,04:15,0,25-01-2024
User9,Party3,02:45,1,26-01-2024
User5,Party2,00:00,1,27-01-2024
User9,Party2,01:30,0,28-01-2024
User8,Party2,01:00,0,29-01-2024
User2,Party1,02:00,0,30-01-2024
User4,Party2,04:15,1,31-01-2024
User10,Party3,01:30,0,01-02-2024
User8,Party3,02:30,1,02-02-2024
User3,Party5,01:00,0,03-02-2024
User7,Party1,03:00,0,04-02-2024
User8,Party4,03:30,1,05-02-2024
User7,Party1,00:45,0,06-02-2024
User1,Party4,03:30,0,07-02-2024
User7,Party1,03:30,1,08-02-2024
User6,Party4,04:15,1,09-02-2024
User6,Party5,04:45,0,10-02-2024
User7,Party4,00:30,0,11-02-2024
User2,Party3,00:45,0,12-02-2024
User7,Party2,04:30,0,13-02-2024
User10,Party1,00:00,1,14-02-2024
User5,Party4,02:30,0,15-02-2024
User3,Party1,01:15,1,16-02-2024
User10,Party5,00:30,0,17-02-2024
User9,Party4,01:15,1,18-02-2024
User6,Party2,02:45,1,19-02-2024
User2,Party2,03:45,1,20-02-2024
User1,Party2,00:15,0,21-02-2024
User8,Party1,00:15,1,22-02-2024
User9,Party2,01:00,0,23-02-2024
User4,Party1,02:45,1,24-02-2024
User8,Party1,00:30,1,25-02-2024
User8,Party4,03:15,0,26-02-2024
